Code commune,Libelle de la commune,Population totale,APL aux medecins generalistes,APL aux medecins generalistes de 65 ans et moins,APL aux medecins generalistes de 62 ans et moins,Population standardisee par la consommation de soins par tranche d age
01001,L Abergement Clemenciat,779,"2,169","2,088","2,088","775,023"
01002,L Abergement de Varey,256,"2,603","2,266","1,838","252,742"
01004,Amberieu en Bugey,14134,"3,443","3,167","2,555","13796,994"
01005,Amberieux en Dombes,1751,"4,355","4,355","3,832","1717,427"
01006,Ambleon,112,"0,919","0,796","0,796","117,329"
01007,Ambronay,2800,"3,914","3,477","2,968","2720,55"
01008,Ambutrix,762,"3,395","3,054","2,617","725,662"
01009,Andert et Condon,326,"4,152","3,781","3,458","341,338"
01010,Anglefort,1105,"2,098","2,006","1,899","1071,237"
01011,Apremont,368,"1,567","1,212","0,917","359,958"
01012,Aranc,329,"1,284","1,284","1,284","348,205"
01013,Arandas,143,"0,371","0,371","0,159","146,048"
01014,Arbent,3349,"2,175","1,664","1,452","3345,621"
01015,Arboys en Bugey,650,"2,866","2,441","2,381","671,763"
01016,Arbigny,460,"2,326","2,242","2,151","459,643"
01017,Argis,457,"1,113","1,113","0,476","466,785"
01019,Armix,27,0,0,0,"29,135"
01021,Ars sur Formans,1457,"1,835","1,823","1,514","1405,669"
01022,Artemare,1249,"4,019","3,434","2,951","1293,936"
01023,Asnieres sur Saone,76,"1,349","1,349","1,189","77,106"
01024,Attignat,3251,"3,449","2,856","2,556","3154,25"
01025,Bage Dommartin,4065,"2,864","2,814","2,566","3958,891"
01026,Bage le Chatel,973,"3,612","3,562","3,244","1020,672"
01027,Balan,2563,"3,204","2,855","2,528","2260,434"
01028,Baneins,617,"2,218","2,094","2,035","607,283"
01029,Beaupont,685,"2,401","1,479","1,406","684,464"
01030,Beauregard,829,"3,87","3,595","3,274","797,939"
01031,Bellignat,3652,"3,083","2,232","1,738","3542,703"
01032,Beligneux,3376,"1,575","1,336","1,134","3212,136"
01033,Valserhone,16378,"2,383","1,85","1,72","15956,254"
01034,Belley,9182,"3,994","3,516","3,234","9481,287"
01035,Belleydoux,310,"3,184","3,184","3,184","315,482"
01036,Valromey sur Seran,1326,"3,584","3,152","2,668","1394,108"
01037,Benonces,308,"1,113","0,72","0,72","311,061"
01038,Beny,754,"2,254","1,591","1,443","756,242"
01039,Beon,443,"5,355","4,739","4,041","448,78"
01040,Bereziat,486,"2,184","2,11","1,924","469,909"
01041,Bettant,748,"3,564","3,318","2,584","749,582"
01042,Bey,291,"2,422","2,299","2,234","287,197"
01043,Beynost,4754,"3,067","2,83","2,607","4707,698"
01044,Billiat,632,"1,295","0,963","0,898","602,405"
01045,Birieux,283,"3,844","3,762","3,317","266,614"
01046,Biziat,895,"1,912","1,871","1,871","869,923"
01047,Blyes,1182,"3,306","2,847","2,372","1095,093"
01049,La Boisse,3283,"3,204","2,979","2,798","3216,29"
01050,Boissey,365,"1,556","1,556","1,402","350,515"
01051,Bolozon,91,"0,495","0,412","0,412","102,65"
01052,Bouligneux,328,"3,637","3,637","3,231","339,509"
01053,Bourg en Bresse,41111,"3,699","3,124","2,836","41908,783"
01054,Bourg Saint Christophe,1457,"1,996","1,723","1,338","1373,551"
01056,Boyeux Saint Jerome,349,"0,747","0,539","0,539","351,491"
01057,Boz,519,"1,873","1,873","1,751","506,556"
01058,Bregnier Cordon,828,"1,276","0,868","0,799","831,325"
01060,Brenod,493,"1,449","1,412","1,369","522,063"
01061,Brens,1144,"3,71","3,179","2,998","1139,042"
01062,Bressolles,934,"2,147","1,967","1,736","903,083"
01063,Brion,533,"3,226","2,473","1,401","545,572"
01064,Briord,1070,"3,216","1,799","1,799","1003,072"
01065,Buellas,1812,"2,561","2,287","2,206","1822,774"
